ts_code,trade_date,open,high,low,close,vol,amount
000300.SH,20240402,3593.2206,3596.1903,3568.7539,3580.6759,141272972.0,220207515.5429
000300.SH,20240403,3578.6835,3582.4324,3558.874,3567.8031,135592331.0,214222897.5801
000300.SH,20240408,3553.5554,3567.82,3535.7688,3536.4077,155304283.0,243249251.6872
000300.SH,20240409,3533.3849,3543.7141,3518.8601,3533.4871,129670942.0,195893525.5747
000300.SH,20240410,3528.9679,3531.2295,3490.0525,3504.7086,128790274.0,199754768.6261
000300.SH,20240411,3485.0294,3520.5893,3484.9252,3504.2447,126534395.0,200293481.8857
000300.SH,20240412,3505.7499,3516.6988,3470.0611,3475.8389,128921116.0,208566204.7029
000300.SH,20240415,3473.5047,3552.4125,3473.5047,3549.0759,183941250.0,267472484.531
000300.SH,20240416,3533.3636,3545.5034,3503.6158,3511.1146,176153065.0,253315972.2723
000300.SH,20240417,3509.1318,3565.9389,3498.0324,3565.403,168466398.0,244987812.7532
000300.SH,20240418,3550.5562,3602.7902,3547.5996,3569.8018,178574105.0,261329927.2684
000300.SH,20240419,3550.6087,3560.9492,3529.3237,3541.6619,147281505.0,226229520.1213
000300.SH,20240422,3536.1844,3558.1642,3528.0186,3530.9045,150579042.0,229511183.118
000300.SH,20240423,3525.6681,3533.7584,3499.9838,3506.2249,143113504.0,213257232.2107
000300.SH,20240424,3514.0108,3524.537,3495.6494,3521.6219,121739851.0,195299919.7462
000300.SH,20240425,3510.6396,3543.9699,3505.1999,3530.2813,115187722.0,184524622.0007
000300.SH,20240426,3531.9647,3588.4003,3531.9647,3584.2686,197216133.0,308045062.2507
000300.SH,20240429,3584.5427,3645.8229,3578.7597,3623.9124,222721381.0,358709708.8376
000300.SH,20240430,3619.2586,3630.7092,3604.3943,3604.3943,191296899.0,286674161.7578
000300.SH,20240506,3654.0485,3668.2565,3645.738,3657.8767,208018007.0,333270472.13
000300.SH,20240507,3657.0007,3665.684,3648.376,3659.0076,164834286.0,247368347.9831
000300.SH,20240508,3650.7484,3650.9355,3628.6984,3630.2233,130035336.0,199923460.3498
000300.SH,20240509,3630.4142,3669.7593,3630.4142,3664.561,146559017.0,232694927.9409
000300.SH,20240510,3669.0869,3674.6088,3641.7639,3666.2771,150720536.0,233730562.0745
000300.SH,20240513,3646.3491,3673.6211,3634.6049,3664.6907,157267455.0,249688465.0729
000300.SH,20240514,3668.2254,3675.776,3646.7092,3657.0454,133406490.0,214643548.2138
000300.SH,20240515,3651.0536,3656.5277,3624.002,3626.0559,123522764.0,191480969.4351
000300.SH,20240516,3636.6007,3657.4831,3626.334,3640.3592,154630503.0,240288953.464
000300.SH,20240517,3638.5613,3677.9696,3627.447,3677.9696,164570417.0,247729525.1922
000300.SH,20240520,3682.0615,3703.0287,3677.4426,3690.9623,184609423.0,279971341.5204
000300.SH,20240521,3682.2868,3684.6106,3665.1524,3676.1611,130678283.0,196575354.8779
000300.SH,20240522,3675.6471,3691.8804,3667.0885,3684.451,151914605.0,230839373.5049
000300.SH,20240523,3672.8403,3674.3654,3633.5051,3641.7917,142572990.0,214205039.0307
000300.SH,20240524,3630.827,3650.8734,3599.6678,3601.4754,124791177.0,195344742.1559
000300.SH,20240527,3606.645,3638.1514,3603.7131,3635.7079,131272644.0,206143742.5356
000300.SH,20240528,3633.2535,3638.9703,3605.9213,3609.1724,123532238.0,184381267.9791
000300.SH,20240529,3609.0708,3633.1971,3602.8198,3613.5223,115906321.0,179072813.2776
000300.SH,20240530,3607.0522,3624.0352,3586.7543,3594.3121,122602995.0,193069647.0508
000300.SH,20240531,3599.8196,3614.6439,3579.9247,3579.9247,112462019.0,180707602.9317
000300.SH,20240603,3577.3798,3600.6044,3567.8713,3588.7483,141054591.0,222756928.1744
000300.SH,20240604,3583.8104,3622.5012,3580.2771,3615.6714,124545096.0,195790966.2338
000300.SH,20240605,3610.3601,3623.3232,3594.1056,3594.7936,110906766.0,182639598.8749
